NR-AR,NR-AR-LBD,mol_id,smiles
0,0,TOX4681,CC(C)(C)N
0,0,TOX1843,N#Cc1ccccn1
0,0,TOX27179,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C
0,0,TOX2529,COC(=O)c1ccc(O)cc1
0,0,TOX24831,CCCCOC(=O)C(C)OC(=O)CCC
0,0,TOX3889,CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1
0,0,TOX27657,CCCCCCC(O)CCOC(C)=O
0,0,TOX27443,COc1cc(C)cc(O)c1
0,0,TOX1235,CCN(CC)c1cc2[o+]c3cc(N(CC)CC)c(C)cc3c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c2cc1C
1,0,TOX4662,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43
0,0,TOX21269,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@]21CC[C@@]3(C)O
1,1,TOX1185,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
0,0,TOX24619,CCCCCCCCNC
0,0,TOX7561,COC(=O)CCSCCC(=O)OC
0,0,TOX721,CCOc1ccc(NC(=O)CC(C)O)cc1
0,0,TOX27130,C/C=C(\C)C(=O)OCc1ccccc1
0,0,TOX1764,CC(O)CN
1,1,TOX2673,CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
0,0,TOX17515,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl
0,0,TOX26189,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1
0,0,TOX1883,C#CCO
0,0,TOX29382,CCN(CC)CCNC(=O)c1ccc(N)cc1
0,1,TOX3764,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
0,0,TOX27617,COc1cc(C)ccc1C(C)C
0,0,TOX4311,O=C([O-])CF
0,0,TOX2946,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O
0,0,TOX24491,NC(=O)CN1CCCC1=O
0,1,TOX6314,[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-]
0,0,TOX27094,CCOC(=O)CC(=O)c1ccccc1
0,0,TOX26989,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O
0,0,TOX348,O=c1ccc2ccccc2o1
0,0,TOX26432,CN1C[C@@H]2C[C@H]1CN2c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1
0,1,TOX26342,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
